index,City,Lat,Lng,Temperature,Humidity,Cloudiness,Wind_Speed,Country,Date
0,jonesboro,35.8423,-90.7043,78.03,41,1,19.57,US,1619477469
1,tambilil,5.9622,124.6697,81.3,78,93,2.55,PH,1619477480
2,alice springs,-23.7,133.8833,53.6,50,0,3.44,AU,1619477481
3,ponta do sol,32.6667,-17.1,56.21,78,78,1.01,PT,1619477212
4,punta arenas,-53.15,-70.9167,44.29,93,90,5.75,CL,1619476936
5,bambous virieux,-20.3428,57.7575,77.49,83,75,12.66,MU,1619477264
6,ancud,-41.8697,-73.8203,53.17,82,75,8.05,CL,1619477481
7,mancio lima,-7.6142,-72.8958,77.0,88,75,9.22,BR,1619477482
8,tuktoyaktuk,69.4541,-133.0374,10.4,72,1,12.66,CA,1619477226
9,timmins,48.4669,-81.3331,48.2,25,75,9.22,CA,1619477482
10,santa ines,-3.6667,-45.38,75.24,94,76,3.22,BR,1619477483
11,ushuaia,-54.8,-68.3,44.6,81,75,3.44,AR,1619477205
12,berlevag,70.8578,29.0864,31.53,72,100,13.27,NO,1619477483
13,buenos aires,-34.6132,-58.3772,62.8,68,0,3.44,AR,1619477484
14,kununurra,-15.7667,128.7333,71.6,88,40,5.35,AU,1619477484
15,mattru,7.6244,-11.8332,78.66,83,59,2.66,SL,1619477485
16,mayo,38.8876,-76.5119,62.38,24,1,8.05,US,1619477485
17,price,39.5994,-110.8107,53.6,37,90,21.85,US,1619477485
18,nome,64.5011,-165.4064,44.6,57,1,4.61,US,1619477230
19,qaanaaq,77.484,-69.3632,39.22,70,93,7.09,GL,1619477220
20,new norfolk,-42.7826,147.0587,52.7,74,12,3.04,AU,1619477486
21,manta,-0.95,-80.7333,84.2,70,20,8.05,EC,1619477054
22,kainantu,-6.2887,145.8655,70.11,66,54,2.57,PG,1619477487
23,igarka,67.4667,86.5833,15.12,90,27,10.71,RU,1619477487
24,longido,-2.7333,36.6833,66.94,77,90,5.28,TZ,1619477488
25,greenville,35.6127,-77.3663,72.59,27,1,3.18,US,1619477488
26,la ronge,55.1001,-105.2842,41.0,60,100,18.41,CA,1619477304
27,busselton,-33.65,115.3333,55.27,93,100,1.86,AU,1619477210
28,amargosa,-13.0303,-39.6047,67.37,93,4,5.37,BR,1619477475
29,ribeira grande,38.5167,-28.7,60.69,84,100,3.18,PT,1619477261
30,bosaso,11.2842,49.1816,84.43,64,56,1.77,SO,1619477489
31,narsaq,60.9167,-46.05,37.4,87,75,5.75,GL,1619477271
32,basco,20.4487,121.9702,75.42,66,85,17.49,PH,1619477490
33,jamestown,42.097,-79.2353,49.28,40,90,6.91,US,1619477234
34,hudiksvall,61.729,17.1036,31.86,68,81,2.33,SE,1619477490
35,iqaluit,63.7506,-68.5145,26.29,80,90,24.16,CA,1619477241
36,longyearbyen,78.2186,15.6401,21.2,63,40,12.66,SJ,1619477240
37,carnarvon,-24.8667,113.6333,62.6,67,0,5.75,AU,1619477125
38,cape town,-33.9258,18.4232,61.23,88,75,14.97,ZA,1619477231
39,rikitea,-23.1203,-134.9692,77.68,73,79,7.45,PF,1619477202
40,saint-pierre,-21.3393,55.4781,72.43,78,90,21.85,RE,1619477262
41,vanimo,-2.6741,141.3028,82.33,73,20,3.15,PG,1619477322
42,aktash,50.3,87.7333,18.18,76,95,3.83,RU,1619477492
43,hirara,24.8,125.2833,68.0,77,20,5.75,JP,1619477492
44,east london,-33.0153,27.9116,68.58,77,96,8.81,ZA,1619477278
45,praia da vitoria,38.7333,-27.0667,60.89,88,75,8.08,PT,1619477237
46,santa maria,-29.6842,-53.8069,62.6,63,0,3.44,BR,1619477254
47,talnakh,69.4865,88.3972,11.32,80,92,8.99,RU,1619477208
48,bluff,-46.6,168.3333,44.01,86,56,15.86,NZ,1619477235
49,cienaga,11.007,-74.2476,86.43,58,90,14.97,CO,1619477494
50,jeremie,18.65,-74.1167,79.59,76,12,5.06,HT,1619477494
51,butaritari,3.0707,172.7902,83.17,76,87,13.02,KI,1619477209
52,ban nahin,18.2418,104.2122,73.96,96,100,1.59,LA,1619477495
53,georgetown,5.4112,100.3354,77.76,89,40,4.61,MY,1619477069
54,tres arroyos,-38.3739,-60.2798,56.64,71,0,6.91,AR,1619477495
55,camacupa,-12.0167,17.4833,62.82,70,57,2.01,AO,1619477496
56,otradnoye,59.7775,30.8181,40.32,75,75,6.71,RU,1619477496
57,linjiang,41.8069,126.9078,50.32,92,100,2.91,CN,1619477496
58,imamoglu,37.2651,35.6572,62.8,100,20,2.3,TR,1619477497
59,kysyl-syr,63.8986,122.7617,16.11,86,100,9.98,RU,1619477497
60,ayolas,-27.4,-56.9,57.2,74,0,5.41,PY,1619477497
61,northam,51.0333,-4.2167,40.68,39,83,2.06,GB,1619477210
62,avera,33.194,-82.5271,75.63,38,1,3.44,US,1619477283
63,hasaki,35.7333,140.8333,49.69,62,20,4.61,JP,1619477153
64,san fernando,15.0286,120.6898,77.0,78,75,2.3,PH,1619477498
65,itatiaia,-22.4961,-44.5633,66.74,97,80,3.87,BR,1619477499
66,kaili,-3.4626,120.2147,69.15,90,65,1.52,ID,1619477499
67,esperance,-33.8667,121.9,68.0,34,100,17.27,AU,1619477296
68,bowen,-20.0167,148.2333,69.8,73,100,4.61,AU,1619477500
69,bethel,41.3712,-73.414,56.03,18,1,16.11,US,1619477315
70,zakharovo,54.366,39.2792,41.0,49,100,10.89,RU,1619477500
71,avarua,-21.2078,-159.775,82.4,74,20,5.75,CK,1619477217
72,sao joao da barra,-21.6403,-41.0511,73.53,92,23,9.8,BR,1619477501
73,hermanus,-34.4187,19.2345,62.01,84,68,4.99,ZA,1619477202
74,albany,42.6001,-73.9662,50.49,30,4,5.99,US,1619477034
75,waingapu,-9.6567,120.2641,75.13,69,27,7.2,ID,1619477502
76,san patricio,28.017,-97.5169,79.11,69,90,18.41,US,1619477249
77,port elizabeth,-33.918,25.5701,62.6,94,75,5.75,ZA,1619477209
78,mataura,-46.1927,168.8643,44.01,86,97,4.97,NZ,1619477216
79,pemberton,50.3164,-122.8027,53.6,54,75,3.44,CA,1619477502
80,airai,-8.9266,125.4092,60.82,64,63,1.95,TL,1619477326
81,puerto escondido,15.85,-97.0667,86.0,70,40,6.91,MX,1619477503
82,mar del plata,-38.0023,-57.5575,58.33,77,0,5.75,AR,1619477503
83,alencon,48.4333,0.0833,51.8,46,0,9.22,FR,1619477504
84,lasa,46.6166,10.7002,47.55,100,90,8.05,IT,1619477288
85,tasiilaq,65.6145,-37.6368,39.2,75,20,7.76,GL,1619477237
86,mutsu,41.2894,141.2169,49.23,70,20,3.44,JP,1619477505
87,atar,20.5169,-13.0499,82.13,17,35,5.55,MR,1619477505
88,walvis bay,-22.9575,14.5053,60.39,94,68,3.44,NA,1619477248
89,alexandria,31.2156,29.9553,62.6,77,0,9.22,EG,1619477271
90,giaveno,45.047,7.3492,48.16,93,100,1.01,IT,1619477507
91,laguna,38.421,-121.4238,66.13,31,1,3.44,US,1619477212
92,anzio,41.4853,12.6179,60.03,66,100,1.01,IT,1619477507
93,kirakira,-10.4544,161.9205,84.61,65,78,3.47,SB,1619476977
94,dikson,73.5069,80.5464,31.82,98,100,17.09,RU,1619477232
95,hilo,19.7297,-155.09,72.81,57,90,9.22,US,1619477106
96,cabo san lucas,22.8909,-109.9124,74.53,56,90,13.8,MX,1619477259
97,port alfred,-33.5906,26.891,66.54,84,99,10.16,ZA,1619477213
98,hoima,1.4356,31.3436,64.13,98,84,2.48,UG,1619477509
99,pisco,-13.7,-76.2167,66.67,83,0,8.05,PE,1619477212
100,pacific grove,36.6177,-121.9166,56.8,76,2,15.99,US,1619477509
101,arrifes,37.7667,-25.7,60.8,77,75,6.91,PT,1619477509
102,pandan,14.0453,124.1694,77.25,82,100,12.82,PH,1619477510
103,bredasdorp,-34.5322,20.0403,51.8,93,30,1.14,ZA,1619477217
104,visnes,59.3556,5.2242,41.0,87,90,4.61,NO,1619477510
105,vao,-22.6667,167.4833,73.63,65,64,19.24,NC,1619477246
106,axim,4.8699,-2.2405,80.98,87,70,7.36,GH,1619477511
107,bridgend,51.5058,-3.5772,41.99,75,82,1.01,GB,1619477512
108,hami,42.8,93.45,46.47,18,3,7.49,CN,1619477512
109,kiruna,67.8557,20.2251,28.4,86,90,8.05,SE,1619477512
110,kapaa,22.0752,-159.319,77.2,65,1,12.66,US,1619477207
111,mwanza,-2.5167,32.9,71.6,88,75,3.89,TZ,1619477513
112,atuona,-9.8,-139.0333,79.88,75,79,14.67,PF,1619477513
113,chuy,-33.6971,-53.4616,56.16,74,8,8.05,UY,1619477241
114,ilulissat,69.2167,-51.1,48.2,46,75,17.27,GL,1619477050
115,arraial do cabo,-22.9661,-42.0278,77.0,83,40,4.61,BR,1619477220
116,maloy,61.9353,5.1136,37.18,75,40,5.75,NO,1619477514
117,victoria,22.2855,114.1577,73.56,88,100,15.97,HK,1619477199
118,kavieng,-2.5744,150.7967,83.66,70,48,1.7,PG,1619476956
119,khatanga,71.9667,102.5,19.74,94,100,15.79,RU,1619477245
120,collie,-33.3667,116.15,54.0,88,100,1.01,AU,1619477515
121,cowra,-33.8333,148.6833,57.0,58,0,1.86,AU,1619477515
122,souillac,-20.5167,57.5167,78.8,83,75,12.66,MU,1619477241
123,nguruka,-5.1092,31.0419,64.13,96,60,1.81,TZ,1619477516
124,santiago del estero,-27.7951,-64.2615,64.36,61,1,6.13,AR,1619477255
125,kindu,-2.95,25.95,71.06,91,62,2.33,CD,1619477518
126,makarov,48.6333,142.8,35.58,70,21,3.29,RU,1619477518
127,dunedin,-45.8742,170.5036,46.99,63,53,13.0,NZ,1619477518
128,samarai,-10.6167,150.6667,81.97,77,92,3.87,PG,1619477286
129,katsuura,35.1333,140.3,51.49,54,40,5.75,JP,1619477237
130,yellowknife,62.456,-114.3525,9.9,52,40,13.8,CA,1619476943
131,arcachon,44.5875,-1.0519,54.25,94,90,5.75,FR,1619477519
132,batemans bay,-35.7167,150.1833,58.41,53,3,2.17,AU,1619477520
133,marzuq,14.4,46.4667,74.07,47,99,7.07,YE,1619477520
134,aden,12.7794,45.0367,83.53,71,94,4.16,YE,1619477486
135,nuuk,64.1835,-51.7216,37.2,93,90,6.91,GL,1619477521
136,noumea,-22.2763,166.4572,75.69,73,40,14.97,NC,1619477351
137,brae,60.3964,-1.353,42.8,87,75,13.8,GB,1619477221
138,pozo colorado,-23.4923,-58.7972,62.74,52,0,6.06,PY,1619477521
139,nikolskoye,59.7035,30.7861,40.33,75,75,6.71,RU,1619477031
140,hope,33.6671,-93.5916,79.0,36,100,5.01,US,1619477522
141,loandjili,-4.7561,11.8578,82.4,89,40,5.75,CG,1619477522
142,tiksi,71.6872,128.8694,16.2,91,100,11.99,RU,1619477236
143,geraldton,-28.7667,114.6,60.8,59,29,10.36,AU,1619477147
144,digby,44.6169,-65.7655,40.91,87,100,9.22,CA,1619477368
145,matagami,49.7502,-77.6328,42.8,39,1,9.22,CA,1619477524
146,boguchany,58.3814,97.4531,30.09,89,94,3.83,RU,1619477292
147,vaini,-21.2,-175.2,77.0,94,75,9.22,TO,1619477215
148,norman wells,65.282,-126.8329,15.8,53,75,9.22,CA,1619477223
149,tessalit,20.1986,1.0114,89.67,8,29,6.73,ML,1619477009
150,thompson,55.7435,-97.8558,50.0,43,40,11.5,CA,1619477264
151,utiel,39.5667,-1.2,56.75,84,76,3.83,ES,1619477526
152,san vicente,-26.6167,-54.1333,52.79,68,0,3.29,AR,1619477526
153,haines junction,60.7522,-137.5108,57.2,21,54,4.61,CA,1619477056
154,bandarbeyla,9.4942,50.8122,82.72,73,87,4.85,SO,1619477244
155,upington,-28.4478,21.2561,69.8,40,82,11.5,ZA,1619477527
156,hobart,-42.8794,147.3294,51.93,76,20,5.75,AU,1619477208
157,sioux lookout,50.1001,-91.917,35.6,80,90,9.22,CA,1619477527
158,poum,-20.2333,164.0167,76.06,71,39,20.56,NC,1619477272
159,taltal,-25.4,-70.4833,63.25,81,6,3.51,CL,1619477290
160,havelock,34.8791,-76.9013,65.95,64,0,5.99,US,1619477528
161,aitape,-3.1374,142.3475,81.75,74,27,1.66,PG,1619477529
162,kruisfontein,-34.0033,24.7314,63.0,84,77,5.01,ZA,1619477249
163,genhe,50.7833,121.5167,34.2,93,100,11.25,CN,1619477529
164,bambanglipuro,-7.95,110.2833,74.89,85,25,4.14,ID,1619477530
165,torbay,47.6666,-52.7314,39.43,65,90,23.02,CA,1619477084
166,saskylakh,71.9167,114.0833,5.2,95,96,4.47,RU,1619477258
167,te anau,-45.4167,167.7167,42.64,78,72,0.67,NZ,1619477313
168,tommot,58.9564,126.2925,36.0,93,100,5.03,RU,1619477531
169,luderitz,-26.6481,15.1594,60.48,86,82,7.43,NA,1619477275
170,bulawayo,-20.15,28.5833,64.54,43,69,5.93,ZW,1619477531
171,kyabe,9.4515,18.9449,88.59,33,24,3.74,TD,1619477532
172,tornio,65.8481,24.1466,30.2,80,0,2.3,FI,1619477532
173,saint george,37.1041,-113.5841,57.88,47,75,21.85,US,1619477226
174,sao gabriel da cachoeira,-0.1303,-67.0892,74.59,97,89,3.94,BR,1619477533
175,marsh harbour,26.5412,-77.0636,75.0,68,0,15.99,BS,1619477533
176,saint-philippe,-21.3585,55.7679,71.58,78,90,21.85,RE,1619477222
177,mitsamiouli,-11.3847,43.2844,80.83,75,49,9.46,KM,1619477007
178,raga,8.4596,25.678,77.13,63,31,6.11,SS,1619477534
179,nizhniye sergi,56.6614,59.3033,36.07,69,4,10.07,RU,1619477534
180,oranjemund,-28.55,16.4333,59.88,88,5,5.73,NA,1619477535
181,snezhnogorsk,69.1933,33.2531,30.2,93,75,2.24,RU,1619477535
182,masuguru,-11.3667,38.4167,70.57,98,18,2.33,TZ,1619477536
183,barrow,71.2906,-156.7887,19.4,73,1,19.57,US,1619477405
184,robertsport,6.7533,-11.3686,82.63,81,73,9.44,LR,1619477536
185,san quintin,30.4833,-115.95,59.92,65,100,16.4,MX,1619477537
186,buzovna,40.5179,50.1139,53.6,87,0,6.91,AZ,1619477537
187,tual,-5.6667,132.75,82.99,57,74,2.84,ID,1619477538
188,saint-augustin,51.226,-58.6502,38.14,80,100,32.91,CA,1619477538
189,coquimbo,-29.9533,-71.3436,60.8,72,20,9.22,CL,1619477206
190,chokurdakh,70.6333,147.9167,23.32,86,99,4.54,RU,1619476943
191,verkhoyansk,67.5447,133.385,32.22,98,100,2.26,RU,1619477296
192,valvedditturai,9.8167,80.1667,80.85,82,36,8.99,LK,1619477539
193,bengkulu,-3.8004,102.2655,75.06,88,87,4.12,ID,1619477275
194,san jose,37.3394,-121.895,62.04,45,75,14.97,US,1619477282
195,mahebourg,-20.4081,57.7,78.8,83,75,12.66,MU,1619477218
196,leh,34.1667,77.5833,31.66,37,8,2.89,IN,1619477540
197,vestmannaeyjar,63.4427,-20.2734,44.8,90,12,9.33,IS,1619477260
198,nanortalik,60.1432,-45.2371,33.76,97,97,9.69,GL,1619477256
199,abu samrah,35.3029,37.1841,58.06,81,0,17.11,SY,1619477541
200,mananara,-16.1667,49.7667,73.08,95,90,2.82,MG,1619477541
201,acapulco,16.8634,-99.8901,86.0,62,75,8.05,MX,1619477269
202,ormara,25.2088,64.6357,80.56,81,27,4.85,PK,1619477542
203,margate,51.3813,1.3862,42.84,80,95,3.0,GB,1619477542
204,rio grande,-32.035,-52.0986,59.0,84,84,10.85,BR,1619477324
205,puerto ayora,-0.7393,-90.3518,76.77,81,38,7.7,EC,1619477225
206,yumaguzino,52.9041,56.3933,39.81,63,83,4.59,RU,1619477543
207,kendari,-3.945,122.4989,76.68,88,66,1.77,ID,1619477286
208,houma,29.5958,-90.7195,77.77,57,1,10.36,US,1619477294
209,kasempa,-13.4584,25.8338,65.8,70,96,3.02,ZM,1619477543
210,lorengau,-2.0226,147.2712,83.93,70,93,1.1,PG,1619477252
211,faanui,-16.4833,-151.75,81.28,66,93,4.0,PF,1619477260
212,upernavik,72.7868,-56.1549,35.51,81,65,4.54,GL,1619477238
213,naze,28.3667,129.4833,68.0,64,20,8.05,JP,1619477253
214,caravelas,-17.7125,-39.2481,76.68,78,60,7.36,BR,1619477545
215,shenyang,41.7922,123.4328,53.6,82,90,6.71,CN,1619477545
216,castro,-24.7911,-50.0119,62.26,74,60,3.27,BR,1619477233
217,lodja,-3.4833,23.4333,72.09,87,48,1.59,CD,1619477258
218,boulder,40.0833,-105.3505,70.97,12,1,10.36,US,1619477546
219,kavaratti,10.5669,72.642,83.77,74,2,7.83,IN,1619477180
220,luwuk,-0.9516,122.7875,79.36,82,83,3.98,ID,1619477546
221,kodiak,57.79,-152.4072,44.6,76,90,10.36,US,1619477006
222,kalmunai,7.4167,81.8167,78.28,84,25,8.61,LK,1619477547
223,cockburn town,21.4612,-71.1419,78.55,73,0,12.82,TC,1619477208
224,adrar,20.5022,-10.0711,84.49,19,31,11.95,MR,1619477230
225,vysha,53.8477,42.3777,39.85,84,85,6.89,RU,1619477548
226,kaitangata,-46.2817,169.8464,44.01,84,70,10.0,NZ,1619477548
227,henderson,36.0397,-114.9819,66.65,29,1,12.66,US,1619477548
228,tuatapere,-46.1333,167.6833,44.01,86,96,8.12,NZ,1619477252
229,sibolga,1.7427,98.7792,77.76,85,97,2.95,ID,1619477549
230,loa janan,-0.583,117.095,74.44,98,69,1.01,ID,1619477549
231,saint anthony,45.0205,-93.218,46.11,81,90,10.36,US,1619477259
232,verkhnyaya balkariya,43.1279,43.4573,51.4,87,90,8.95,RU,1619477550
233,krasnokamensk,50.0979,118.0369,35.01,62,99,26.28,RU,1619477550
234,muravlenko,63.7898,74.523,34.2,98,100,12.62,RU,1619477551
235,provideniya,64.3833,-173.3,37.4,70,0,4.34,RU,1619477234
236,nemuro,43.3236,145.575,36.55,70,16,8.39,JP,1619477551
237,olafsvik,64.8945,-23.7142,42.21,64,0,3.58,IS,1619477552
238,paragominas,-2.9667,-47.4833,73.89,93,77,2.84,BR,1619477552
239,padang,-0.9492,100.3543,75.2,94,20,1.14,ID,1619477552
240,husavik,66.0449,-17.3389,35.6,80,0,4.61,IS,1619477227
241,fortuna,40.5982,-124.1573,55.47,54,40,10.36,US,1619477325
242,richards bay,-28.783,32.0377,65.57,93,42,5.79,ZA,1619477553
243,mukhen,48.1,136.1,53.11,32,60,5.97,RU,1619477554
244,korla,41.7597,86.1469,53.55,34,13,5.79,CN,1619477554
245,nalut,30.3333,10.85,79.72,20,43,11.65,LY,1619477298
246,srednekolymsk,67.45,153.6833,24.98,74,30,6.08,RU,1619477294
247,nanyamba,-10.6833,39.8333,75.2,94,20,11.5,TZ,1619477555
248,acarau,-2.8856,-40.12,79.7,81,66,11.9,BR,1619477555
249,qandala,11.472,49.8728,84.31,67,80,1.97,SO,1619477556
250,clinton,42.587,-82.9199,48.88,53,75,10.36,US,1619477396
251,hattiesburg,31.3271,-89.2903,79.0,29,1,6.91,US,1619477358
252,serpa,37.9458,-7.5975,59.0,94,40,3.44,PT,1619477556
253,rosignol,6.2833,-57.5333,76.5,87,93,6.71,GY,1619477557
254,prince rupert,54.3161,-130.3201,53.71,44,1,5.75,CA,1619477230
255,akyab,20.15,92.9,79.39,83,13,1.5,MM,1619477557
256,tilichiki,60.4667,166.1,30.87,99,100,1.45,RU,1619477558
257,zapolyarnyy,69.4154,30.8136,28.4,80,100,4.61,RU,1619477558
258,varna,43.2167,27.9167,45.46,87,0,8.05,BG,1619477280
259,clyde river,70.4692,-68.5914,24.8,100,75,3.44,CA,1619477559
260,rudnogorsk,57.2639,103.7519,23.67,85,14,4.36,RU,1619477559
261,hay river,60.8156,-115.7999,7.68,66,100,8.05,CA,1619477223
262,maniitsoq,65.4167,-52.9,33.3,98,100,8.86,GL,1619477299
263,lata,40.1629,-8.3327,57.96,95,31,1.01,PT,1619477560
264,portland,45.5234,-122.6762,56.59,67,75,4.61,US,1619476922
265,kloulklubed,7.0419,134.2556,78.8,89,75,6.2,PW,1619477314
266,bilma,18.6853,12.9164,89.29,9,10,8.08,NE,1619477115
267,chum phae,16.5443,102.0992,72.81,93,100,1.9,TH,1619477561
268,aykhal,66.0,111.5,8.76,94,100,12.84,RU,1619477561
269,ixtapa,20.7,-105.2,81.3,74,75,14.97,MX,1619477293
270,kasane,-17.8167,25.15,68.05,58,44,3.09,BW,1619477562
271,tulagi,-9.0996,160.1476,81.73,73,97,1.99,SB,1619477562
272,constitucion,-35.3333,-72.4167,58.24,71,0,10.65,CL,1619477273
273,the valley,18.217,-63.0578,79.63,73,20,11.5,AI,1619477265
274,rochefort,45.9167,-1.0,54.27,66,0,6.91,FR,1619477563
275,carbonia,39.1672,8.5222,59.7,88,40,3.44,IT,1619477563
276,yushu,44.8,126.5333,56.12,52,100,19.42,CN,1619477564
