index,City,Lat,Lng,Temperature,Humidity,Cloudiness,Wind_Speed,Country,Date
277,kahului,20.8947,-156.47,76.66,57,40,14.97,US,1619477172
278,cidreira,-30.1811,-50.2056,64.09,70,35,10.13,BR,1619477320
279,vostok,46.4856,135.8833,47.97,33,31,3.06,RU,1619477319
280,white oak,39.2131,-84.5994,73.85,25,1,8.05,US,1619477565
281,vardo,70.3705,31.1107,28.4,74,20,11.5,NO,1619477565
282,grindavik,63.8424,-22.4338,41.0,87,20,4.61,IS,1619477151
283,sobolevo,54.4299,31.8996,30.31,77,13,4.65,RU,1619477566
284,visby,57.6409,18.296,36.61,81,90,10.36,SE,1619477566
285,namatanai,-3.6667,152.4333,84.45,68,56,3.24,PG,1619477566
286,marquette,46.5333,-87.6335,34.25,93,100,8.3,US,1619477567
287,camopi,3.1655,-52.3158,72.82,99,100,2.64,GF,1619477567
288,saldanha,-33.0117,17.9442,62.6,94,80,20.71,ZA,1619477284
289,cascais,38.6979,-9.4215,60.21,94,94,8.01,PT,1619477375
290,hirtshals,57.5881,9.9592,32.14,60,2,2.3,DK,1619477568
291,vila nova de milfontes,37.7238,-8.7828,57.99,92,64,1.99,PT,1619477568
292,iquitos,-3.7481,-73.2472,78.8,89,75,2.3,PE,1619477569
293,teya,60.3778,92.6267,30.81,93,45,2.84,RU,1619477569
294,port hedland,-20.3167,118.5667,68.0,34,1,10.36,AU,1619477569
295,leningradskiy,69.3833,178.4167,30.13,86,38,4.79,RU,1619477570
296,sakaiminato,35.55,133.2333,45.68,76,75,2.3,JP,1619477570
297,maldonado,-34.6667,-54.9167,63.34,72,75,14.97,UY,1619477277
298,tocopilla,-22.092,-70.1979,66.87,66,11,4.25,CL,1619477571
299,emerald,-23.5333,148.1667,66.99,39,90,9.22,AU,1619477571
300,port blair,11.6667,92.75,80.69,74,67,4.36,IN,1619477249
301,remanso,-9.6179,-42.0831,81.37,59,85,6.55,BR,1619477572
302,anloga,5.7947,0.8973,84.2,84,40,8.05,GH,1619477313
303,aztec,36.8222,-107.9929,68.92,10,1,10.36,US,1619477572
304,camacha,33.0833,-16.3333,62.6,82,40,11.5,PT,1619477572
305,inhambane,-23.865,35.3833,71.87,87,1,5.55,MZ,1619477277
306,codrington,-38.2667,141.9667,56.71,74,70,1.83,AU,1619477573
307,neiafu,-18.65,-173.9833,82.4,83,75,13.8,TO,1619477573
308,yulara,-25.2406,130.9889,55.4,50,0,8.05,AU,1619477276
309,lebu,-37.6167,-73.65,54.55,86,3,10.16,CL,1619477289
310,antalaha,-14.9003,50.2788,72.77,90,58,5.21,MG,1619477574
311,vestmanna,62.1564,-7.1664,39.2,81,100,19.57,FO,1619477575
312,clarksburg,39.2807,-80.3445,66.96,24,1,4.61,US,1619477575
313,gat,31.61,34.7642,62.15,100,69,5.95,IL,1619477576
314,seydi,39.4816,62.9137,71.37,24,0,10.25,TM,1619477576
315,bathsheba,13.2167,-59.5167,80.6,57,40,14.97,BB,1619477109
316,razole,16.4833,81.8333,78.13,80,1,3.04,IN,1619477577
317,cape coast,5.1053,-1.2466,81.81,86,92,9.8,GH,1619477577
318,hualmay,-11.0964,-77.6139,67.55,85,12,9.95,PE,1619477577
319,port lincoln,-34.7333,135.8667,62.91,72,95,6.64,AU,1619477293
320,mana,5.6592,-53.7767,77.02,90,100,10.94,GF,1619477578
321,sao filipe,14.8961,-24.4956,71.8,76,15,9.78,CV,1619477244
322,nileshwar,12.25,75.1,82.0,83,1,7.11,IN,1619477578
323,kupang,-10.1667,123.5833,74.07,72,82,6.15,ID,1619477579
324,valparaiso,-33.0393,-71.6273,54.5,100,90,3.44,CL,1619477286
325,la seyne-sur-mer,43.0982,5.8847,58.44,67,87,7.0,FR,1619477579
326,campos,-21.75,-41.3,71.08,96,31,6.62,BR,1619477580
327,seoul,37.5683,126.9778,54.27,71,0,3.44,KR,1619477409
328,ostersund,63.1792,14.6357,32.0,69,90,6.91,SE,1619477580
329,presidencia roque saenz pena,-26.7852,-60.4388,57.43,62,0,4.63,AR,1619477581
330,puerto baquerizo moreno,-0.9,-89.6,80.6,74,75,14.97,EC,1619477581
331,la romana,18.4273,-68.9728,78.8,83,75,11.5,DO,1619477581
332,auch,43.65,0.5833,52.41,95,100,1.99,FR,1619477582
333,sebring,27.4956,-81.4409,81.36,47,40,11.5,US,1619477582
334,datia,25.6667,78.4667,82.98,7,3,5.3,IN,1619477583
335,namtsy,62.7161,129.6658,35.6,87,90,2.24,RU,1619477583
336,sitka,57.0531,-135.33,50.0,76,1,3.44,US,1619477583
337,lagoa,39.05,-27.9833,59.77,89,92,10.4,PT,1619477189
338,mirai,-21.1953,-42.6142,69.6,93,27,4.38,BR,1619477584
339,normandin,48.8333,-72.5321,34.93,75,100,16.11,CA,1619477584
340,winnemucca,40.973,-117.7357,44.6,45,90,9.22,US,1619477585
341,warrensburg,38.7628,-93.7361,82.4,32,1,26.46,US,1619477585
342,port hardy,50.6996,-127.4199,52.21,76,40,9.22,CA,1619477586
343,nelson bay,-32.7167,152.15,59.0,94,40,10.36,AU,1619477295
344,coihaique,-45.5752,-72.0662,51.8,87,75,6.91,CL,1619477586
345,beaufort,5.3473,115.7455,78.4,94,20,1.14,MY,1619477587
346,san jose de guanipa,8.8872,-64.1651,89.46,34,88,9.13,VE,1619477587
347,hanko,59.8333,22.95,36.72,91,100,1.99,FI,1619477587
348,herat,34.5,62.0,63.81,20,83,5.99,AF,1619477588
349,englewood,39.6478,-104.9878,75.52,7,75,16.11,US,1619477453
350,navahrudak,53.6,25.8333,27.84,95,65,7.25,BY,1619477588
351,moree,-29.4667,149.85,59.0,72,0,9.22,AU,1619477589
352,dingle,10.9995,122.6711,78.6,78,52,7.7,PH,1619477589
353,kachug,53.9606,105.8817,30.33,76,63,11.41,RU,1619477590
354,santa marta,11.2408,-74.199,86.2,58,90,14.97,CO,1619477513
355,tomelloso,39.1522,-3.0243,50.18,82,40,5.75,ES,1619477590
356,ayr,55.4627,-4.6339,47.28,87,90,4.61,GB,1619477591
357,siavonga,-16.5382,28.7088,73.38,55,2,4.07,ZM,1619477591
358,mianyang,31.4593,104.7542,61.83,78,98,1.88,CN,1619477592
359,cherskiy,68.75,161.3,21.4,83,60,8.39,RU,1619477592
360,garowe,8.4054,48.4845,78.22,66,90,5.39,SO,1619477593
361,los llanos de aridane,28.6585,-17.9182,63.16,73,90,3.44,ES,1619477334
362,port keats,-14.25,129.55,79.02,76,64,6.13,AU,1619477333
363,labuhan,-6.8844,112.2051,76.96,84,58,6.35,ID,1619477301
364,pauini,-7.7136,-66.9764,73.04,97,89,1.83,BR,1619477594
365,gouyave,12.1646,-61.7296,82.4,69,20,19.57,GD,1619477594
366,hithadhoo,-0.6,73.0833,82.31,64,10,4.83,MV,1619477594
367,aquiraz,-3.9014,-38.3911,82.4,78,0,8.05,BR,1619477467
368,pasni,25.2631,63.471,80.89,78,5,6.62,PK,1619477595
369,tulsipur,28.131,82.2973,80.01,64,0,3.0,NP,1619477595
370,belyy yar,53.6039,91.3903,30.2,74,99,2.24,RU,1619477596
371,sandpoint,48.2766,-116.5533,54.57,47,90,4.61,US,1619477413
372,shingu,33.7333,135.9833,59.86,57,79,1.63,JP,1619477314
373,broome,42.2506,-75.833,46.22,29,1,16.11,US,1619477596
374,ballina,-28.8667,153.5667,62.4,82,60,8.05,AU,1619477597
375,mpongwe,-13.5091,28.155,63.97,86,99,4.03,ZM,1619477597
376,sao jose da coroa grande,-8.8978,-35.1478,77.97,82,80,7.96,BR,1619477598
377,pangnirtung,66.1451,-65.7125,35.6,87,90,6.91,CA,1619477599
378,harper,4.375,-7.7169,80.6,82,20,7.25,LR,1619477319
379,makakilo city,21.3469,-158.0858,79.84,57,1,9.22,US,1619477599
380,huaral,-11.495,-77.2078,65.62,77,0,9.22,PE,1619477600
381,san rafael,-34.6177,-68.3301,65.37,55,0,8.63,AR,1619477439
382,vila velha,-20.3297,-40.2925,78.8,89,20,8.05,BR,1619477600
383,illapel,-31.6308,-71.1653,66.51,64,0,2.3,CL,1619477601
384,shizunai,42.3339,142.3669,42.21,56,2,9.15,JP,1619477601
385,cabedelo,-6.9811,-34.8339,77.0,94,20,9.22,BR,1619477601
386,edendale,-29.6528,30.3147,60.01,96,68,5.44,ZA,1619477602
387,marawi,7.9986,124.2928,75.0,90,100,5.01,PH,1619477602
388,bundaberg,-24.85,152.35,71.38,72,0,9.22,AU,1619477603
389,filingue,14.3521,3.3168,91.58,24,80,4.65,NE,1619477603
390,colares,38.7992,-9.4469,60.06,94,100,8.01,PT,1619477603
391,nadym,65.5333,72.5167,34.32,95,100,17.96,RU,1619477604
392,ketchikan,55.3422,-131.6461,57.67,39,0,4.5,US,1619477604
393,porto novo,6.4965,2.6036,86.0,79,20,10.36,BJ,1619477303
394,tibati,6.4667,12.6333,75.87,57,84,1.83,CM,1619477605
395,anadyr,64.75,177.4833,24.8,100,0,6.71,RU,1619477221
396,lashio,22.9333,97.75,64.6,89,51,1.88,MM,1619477605
397,bonavista,48.6499,-53.1147,39.79,65,100,11.5,CA,1619477606
398,tutoia,-2.7619,-42.2744,79.2,81,96,7.7,BR,1619477606
399,nurota,40.5614,65.6886,60.8,39,0,11.5,UZ,1619477606
400,tsabong,-26.0217,22.401,70.29,21,70,11.5,BW,1619477338
401,flinders,-34.5833,150.8552,60.42,90,1,1.01,AU,1619477305
402,aklavik,68.2191,-135.0107,21.2,45,100,8.05,CA,1619477607
403,soe,-9.8607,124.284,63.46,68,39,2.68,ID,1619477608
404,pathein,16.7833,94.7333,77.92,81,65,4.38,MM,1619477608
405,misratah,32.3754,15.0925,65.93,74,61,23.42,LY,1619477609
406,bilibino,68.0546,166.4372,24.26,86,100,3.24,RU,1619477311
407,lavrentiya,65.5833,-171.0,32.14,87,94,2.28,RU,1619477609
408,saurimo,-9.6608,20.3916,67.82,84,98,1.66,AO,1619477610
409,mount isa,-20.7333,139.5,78.8,50,43,10.36,AU,1619477610
410,deputatskiy,69.3,139.9,26.65,90,100,2.06,RU,1619477610
411,moose factory,51.2585,-80.6094,53.6,26,1,8.05,CA,1619477611
412,uvira,-3.4067,29.1458,71.51,85,93,1.92,CD,1619477611
413,sulangan,11.1373,123.7228,80.31,72,42,11.77,PH,1619477612
414,elko,41.0002,-115.5012,41.49,45,40,23.02,US,1619477612
415,saint-georges,12.0564,-61.7485,82.4,69,20,19.57,GD,1619477612
416,hofn,64.2539,-15.2082,38.44,73,18,3.56,IS,1619477613
417,williams lake,52.1415,-122.1445,57.2,18,40,5.75,CA,1619477405
418,salsomaggiore terme,44.8148,9.9796,51.96,85,100,4.0,IT,1619477613
419,petropavlovsk-kamchatskiy,53.0452,158.6483,33.8,100,90,2.24,RU,1619477614
420,mackay,-21.15,149.2,67.73,88,75,6.91,AU,1619477614
421,ankazobe,-18.3167,47.1167,60.8,94,75,9.22,MG,1619477615
422,areka,7.0667,37.7,59.92,96,100,1.36,ET,1619477615
423,marsabit,2.3284,37.9899,68.5,64,92,4.25,KE,1619477615
424,doboj,44.7347,18.0878,48.13,100,75,2.3,BA,1619477616
425,shupiyan,33.7167,74.8333,47.26,60,38,4.03,IN,1619477616
426,lac du bonnet,50.2536,-96.0612,40.14,79,100,5.39,CA,1619477617
427,maua,-23.6678,-46.4614,65.3,77,90,6.24,BR,1619477617
428,wilmington,34.2257,-77.9447,69.73,40,1,10.36,US,1619477617
429,cam ranh,11.9214,109.1591,78.8,89,20,1.14,VN,1619477309
430,sechura,-5.5569,-80.8222,75.36,64,25,16.67,PE,1619477618
431,yasnyy,51.0333,59.8742,47.41,95,100,14.03,RU,1619477618
432,hambantota,6.1241,81.1185,78.8,100,20,2.3,LK,1619477285
433,nianzishan,47.5167,122.8833,48.97,41,0,16.84,CN,1619477619
434,sawakin,19.1059,37.3321,82.26,73,18,1.77,SD,1619477619
435,skibbereen,51.55,-9.2667,48.2,66,20,11.5,IE,1619477620
436,the pas,53.8251,-101.2541,53.6,47,40,11.5,CA,1619477620
437,ostrovnoy,68.0531,39.5131,29.43,71,100,15.7,RU,1619477620
438,porto walter,-8.2686,-72.7439,73.85,89,58,2.86,BR,1619477621
439,loukhi,66.0764,33.0381,24.42,95,48,2.8,RU,1619477621
440,beyneu,45.3167,55.2,72.36,37,13,7.31,KZ,1619477621
441,buraydah,26.326,43.975,78.8,44,20,6.91,SA,1619477622
442,peace river,56.2501,-117.286,35.6,48,40,16.11,CA,1619477622
443,palana,59.1167,159.9667,25.59,90,100,4.36,RU,1619477623
444,guerrero negro,27.9769,-114.0611,64.11,57,97,16.24,MX,1619477623
445,masakin,35.7292,10.5808,63.45,94,0,12.66,TN,1619477624
446,fonte boa,-2.4959,-66.2662,74.34,98,99,3.36,BR,1619477624
447,vuktyl,63.8567,57.3094,32.25,88,54,4.99,RU,1619477624
448,yacuiba,-22.038,-63.6797,64.99,69,100,1.99,BO,1619477625
449,itoman,26.1247,127.6694,66.83,77,75,4.61,JP,1619477625
450,san cristobal,7.7669,-72.225,84.2,65,40,11.5,VE,1619477481
451,san lazaro,18.0387,-88.6622,86.56,66,40,10.36,BZ,1619477626
452,itarema,-2.9248,-39.9167,80.13,79,71,12.5,BR,1619477626
453,hit,33.6416,42.8251,79.75,21,62,20.8,IQ,1619477626
454,salihli,38.4826,28.1477,48.97,77,1,1.54,TR,1619477627
455,veliko gradiste,44.7567,21.5136,46.99,86,100,1.01,RS,1619477627
456,chengde,40.9725,117.9361,51.66,47,2,3.53,CN,1619477627
457,boke,10.9409,-14.2967,76.91,74,100,4.16,GN,1619477628
458,bandundu,-3.3167,17.3667,73.99,88,93,0.94,CD,1619477628
459,derzhavinsk,51.1,66.3167,53.44,79,100,6.2,KZ,1619477629
460,grand-santi,4.25,-54.3833,73.98,98,100,3.15,GF,1619477629
461,neryungri,56.6709,124.6491,33.21,99,100,2.95,RU,1619477630
462,lucea,18.451,-78.1736,84.61,70,20,8.05,JM,1619477630
463,chernyshevskiy,63.0128,112.4714,13.28,75,12,8.46,RU,1619477630
464,miranda,3.2499,-76.2281,78.8,69,75,5.75,CO,1619477631
465,oyama,36.3,139.8,53.85,53,20,4.61,JP,1619477631
466,cozumel,20.5083,-86.9458,85.48,58,40,6.91,MX,1619477631
467,hanna,51.6334,-111.9018,57.99,16,33,13.0,CA,1619477632
468,cayenne,4.9333,-52.3333,77.59,94,75,5.75,GF,1619477632
469,denizli,37.8402,29.0698,44.6,87,0,6.91,TR,1619477633
470,taoudenni,22.6783,-3.9836,91.96,13,29,11.52,ML,1619477633
471,klaksvik,62.2266,-6.589,39.2,81,100,19.57,FO,1619477633
472,pevek,69.7008,170.3133,22.71,90,99,4.79,RU,1619477634
473,yambio,4.5721,28.3955,66.7,93,73,2.53,SS,1619477634
474,opuwo,-18.0607,13.84,63.37,57,7,3.51,NA,1619477634
475,lewisporte,49.2499,-55.0482,45.68,49,90,26.46,CA,1619477635
476,egvekinot,66.3167,-179.1667,24.84,87,27,1.9,RU,1619477635
477,baracoa,20.3467,-74.4958,78.78,75,0,7.49,CU,1619477636
478,ust-maya,60.4167,134.5333,33.31,99,100,2.48,RU,1619477636
479,isla aguada,18.7833,-91.4667,89.6,58,1,9.22,MX,1619477637
480,mujiayingzi,42.1167,118.7833,49.26,31,45,15.46,CN,1619477637
481,kirkwall,58.9848,-2.9587,44.6,93,90,11.5,GB,1619477637
482,kharp,66.8014,65.8081,33.87,98,100,5.91,RU,1619477638
483,otane,-39.8833,176.6333,58.75,52,100,4.0,NZ,1619477638
484,nizwa,22.9333,57.5333,78.28,25,88,0.96,OM,1619477638
485,erenhot,43.6475,111.9767,38.1,39,83,16.89,CN,1619477639
486,umm lajj,25.0213,37.2685,77.52,73,0,6.17,SA,1619477639
487,vulcan,45.3833,23.2667,40.12,88,100,1.9,RO,1619477640
488,waikuku,-43.3,172.6833,50.45,81,40,6.91,NZ,1619477640
489,omboue,-1.5746,9.2618,79.02,86,100,5.46,GA,1619477640
490,san policarpo,12.1791,125.5072,79.5,79,67,9.69,PH,1619477641
491,sinnamary,5.3833,-52.95,77.72,88,100,10.83,GF,1619477641
492,keetmanshoop,-26.5833,18.1333,62.6,59,66,8.05,NA,1619477642
493,abramovka,51.1886,41.0202,40.41,92,45,12.5,RU,1619477642
494,xichang,27.8964,102.2634,60.62,67,55,1.95,CN,1619477643
495,salalah,17.0151,54.0924,82.4,74,40,5.75,OM,1619477643
496,marrakesh,31.6315,-8.0083,62.6,67,40,6.91,MA,1619477643
497,meulaboh,4.1363,96.1285,76.68,89,99,3.38,ID,1619477644
498,byron bay,-28.65,153.6167,63.79,82,66,8.05,AU,1619477644
499,roald,62.5833,6.1333,34.77,75,100,5.75,NO,1619477645
500,karratha,-20.7377,116.8463,74.84,33,0,9.01,AU,1619477312
501,hervey bay,-25.2986,152.8535,73.27,72,22,9.22,AU,1619477645
502,olinda,-8.0089,-34.8553,78.8,73,40,6.91,BR,1619477646
503,revda,56.801,59.9303,33.8,60,0,6.71,RU,1619477646
504,ugoofaaru,5.6667,73.0,83.08,74,5,6.64,MV,1619477647
505,manama,26.2154,50.5832,80.6,74,100,8.05,BH,1619477647
506,limon,10.0,-83.0333,84.2,74,40,8.05,CR,1619477648
507,mayuge,0.4597,33.4803,62.37,96,68,3.62,UG,1619477648
508,huari,-9.3333,-77.2333,47.55,79,77,2.95,PE,1619477648
509,jinchang,38.4953,102.1739,40.66,24,74,11.52,CN,1619477649
510,urumqi,43.801,87.6005,51.8,54,0,6.71,CN,1619477649
511,sarahan,31.5167,77.8,49.32,45,0,10.02,IN,1619477649
512,kasimov,54.9411,41.3953,38.14,73,98,7.74,RU,1619477650
513,inirida,3.8653,-67.9239,77.05,92,97,1.66,CO,1619477650
514,eskil,38.4017,33.4131,52.81,69,93,10.09,TR,1619477651
515,maragua,-0.7833,37.1333,61.12,82,20,4.61,KE,1619477651
516,daru,-9.0763,143.2092,80.06,84,88,4.29,PG,1619477335
517,puteyets,65.1716,57.091,37.69,91,100,4.29,RU,1619477652
518,trincomalee,8.5711,81.2335,80.94,79,56,8.28,LK,1619477652
519,karpogory,64.0019,44.4451,32.74,92,100,7.11,RU,1619477653
520,quelimane,-17.8786,36.8883,78.39,89,20,4.61,MZ,1619477653
521,comodoro rivadavia,-45.8667,-67.5,66.2,42,0,27.63,AR,1619477497
522,college,64.8569,-147.8028,56.08,26,75,7.18,US,1619477470
523,mayumba,-3.432,10.6554,78.8,88,29,5.01,GA,1619477654
524,solnechnyy,50.7214,136.6319,46.44,47,83,5.84,RU,1619477654
525,portree,57.4129,-6.1942,45.0,81,66,3.0,GB,1619477655
526,bubaque,11.2833,-15.8333,78.37,70,47,17.2,GW,1619477655
527,narkevychi,49.5172,26.6418,34.66,74,64,4.36,UA,1619477655
528,dashitou,43.3067,128.5114,52.59,65,98,10.63,CN,1619477656
529,micheweni,-4.9667,39.8333,78.04,87,100,9.44,TZ,1619477656
530,timelkam,48.0039,13.6076,37.31,54,1,2.68,AT,1619477656
531,sangar,63.9242,127.4739,22.5,93,100,11.39,RU,1619477657
532,bata,1.8639,9.7658,80.02,86,100,5.77,GQ,1619477657
533,troitskoye,52.9821,84.6757,45.81,79,100,11.25,RU,1619477657
534,adamovka,51.5223,59.9396,46.33,97,100,12.88,RU,1619477658
535,iskateley,67.6803,53.1512,36.05,98,100,4.29,RU,1619477658
536,goderich,43.7501,-81.7165,41.0,60,100,3.44,CA,1619477659
537,abashiri,44.0213,144.2697,39.99,76,24,1.99,JP,1619477659
538,naisud,11.8058,122.1939,80.15,75,78,9.31,PH,1619477660
539,lompoc,34.6391,-120.4579,57.42,44,1,19.57,US,1619477323
540,gushikawa,26.3544,127.8686,66.13,94,90,3.44,JP,1619477660
541,sangod,24.9167,76.2833,84.87,8,0,2.51,IN,1619477661
542,saint-joseph,-21.3667,55.6167,71.67,78,90,21.85,RE,1619477661
543,talaya,61.3833,152.75,13.71,70,33,1.9,RU,1619477662
544,poronaysk,49.2167,143.1167,34.95,68,15,3.4,RU,1619477662
545,parchim,53.4263,11.8488,33.39,81,2,1.99,DE,1619477663
546,beauceville,46.2179,-70.7787,33.8,75,92,8.05,CA,1619477663
547,kautokeino,69.0125,23.0412,10.44,95,65,3.6,NO,1619477331
548,salinopolis,-0.6136,-47.3561,79.43,82,99,9.44,BR,1619477537
549,stornoway,58.2093,-6.3865,46.65,93,90,17.27,GB,1619477664
550,oranjestad,12.524,-70.027,82.2,74,20,19.57,AW,1619477642
551,maraba,-5.3686,-49.1178,74.55,96,97,1.16,BR,1619477664
552,jijiang,29.2906,106.2542,63.48,94,0,2.24,CN,1619477665
553,balabac,7.9868,117.0645,81.14,76,80,3.62,PH,1619477665
554,baghdad,33.3406,44.4009,93.2,16,90,11.5,IQ,1619477617
555,prieska,-29.6641,22.7474,63.7,45,72,12.62,ZA,1619477666
